"","country","indicator","year","value","units"
"1","Benin","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","3",NA
"2","Benin","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","1",NA
"3","Benin","P.6.2 Biosafety and biosecurity training and practices","2017","1",NA
"4","Benin","P.7.2 National vaccine access and delivery","2017","4",NA
"5","Benin","D.1.1 Laboratory testing for detection of priority diseases","2017","3",NA
"6","Benin","D.1.2 Specimen referral and transport system","2017","3",NA
"7","Benin","D.1.4 Laboratory quality system","2017","2",NA
"8","Benin","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","2",NA
"9","Benin","D.3.2 Reporting network and protocols in country","2017","2",NA
"10","Benin","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","4",NA
"11","Benin","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","2",NA
"12","Benin","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","2",NA
"13","Benin","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","2",NA
"14","Benin","PoE.1 Routine capacities established at points of entry","2017","1",NA
"15","Benin","PoE.2 E ective public health response at points of entry","2017","1",NA
"16","Botswana","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","1",NA
"17","Botswana","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","2",NA
"18","Botswana","P.6.2 Biosafety and biosecurity training and practices","2017","2",NA
"19","Botswana","P.7.2 National vaccine access and delivery","2017","4",NA
"20","Botswana","D.1.1 Laboratory testing for detection of priority diseases","2017","4",NA
"21","Botswana","D.1.2 Specimen referral and transport system","2017","4",NA
"22","Botswana","D.1.4 Laboratory quality system","2017","3",NA
"23","Botswana","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","2",NA
"24","Botswana","D.3.2 Reporting network and protocols in country","2017","2",NA
"25","Botswana","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","1",NA
"26","Botswana","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","2",NA
"27","Botswana","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","3",NA
