"country","indicator","year","value","units"
"Benin","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","3",NA
"Benin","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","1",NA
"Benin","P.6.2 Biosafety and biosecurity training and practices","2017","1",NA
"Benin","P.7.2 National vaccine access and delivery","2017","4",NA
"Benin","D.1.1 Laboratory testing for detection of priority diseases","2017","3",NA
"Benin","D.1.2 Specimen referral and transport system","2017","3",NA
"Benin","D.1.4 Laboratory quality system","2017","2",NA
"Benin","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","2",NA
"Benin","D.3.2 Reporting network and protocols in country","2017","2",NA
"Benin","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","4",NA
"Benin","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","2",NA
"Benin","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","2",NA
"Benin","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","2",NA
"Benin","PoE.1 Routine capacities established at points of entry","2017","1",NA
"Benin","PoE.2 E ective public health response at points of entry","2017","1",NA
"Botswana","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","1",NA
"Botswana","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","2",NA
"Botswana","P.6.2 Biosafety and biosecurity training and practices","2017","2",NA
"Botswana","P.7.2 National vaccine access and delivery","2017","4",NA
"Botswana","D.1.1 Laboratory testing for detection of priority diseases","2017","4",NA
"Botswana","D.1.2 Specimen referral and transport system","2017","4",NA
"Botswana","D.1.4 Laboratory quality system","2017","3",NA
"Botswana","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","2",NA
"Botswana","D.3.2 Reporting network and protocols in country","2017","2",NA
"Botswana","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","1",NA
"Botswana","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","2",NA
"Botswana","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","3",NA
"Botswana","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","2",NA
"Botswana","PoE.1 Routine capacities established at points of entry","2017","4",NA
"Botswana","PoE.2 E ective public health response at points of entry","2017","1",NA
"Burkina Faso","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","1",NA
"Burkina Faso","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","1",NA
"Burkina Faso","P.6.2 Biosafety and biosecurity training and practices","2017","2",NA
"Burkina Faso","P.7.2 National vaccine access and delivery","2017","3",NA
"Burkina Faso","D.1.1 Laboratory testing for detection of priority diseases","2017","3",NA
"Burkina Faso","D.1.2 Specimen referral and transport system","2017","2",NA
"Burkina Faso","D.1.4 Laboratory quality system","2017","3",NA
"Burkina Faso","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","3",NA
"Burkina Faso","D.3.2 Reporting network and protocols in country","2017","1",NA
"Burkina Faso","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","4",NA
"Burkina Faso","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","2",NA
"Burkina Faso","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","1",NA
"Burkina Faso","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","2",NA
"Burkina Faso","PoE.1 Routine capacities established at points of entry","2017","1",NA
"Burkina Faso","PoE.2 E ective public health response at points of entry","2017","1",NA
"Burundi","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2018","1",NA
"Burundi","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2018","2",NA
"Burundi","P.6.2 Biosafety and biosecurity training and practices","2018","2",NA
"Burundi","P.7.2 National vaccine access and delivery","2018","4",NA
"Burundi","D.1.1 Laboratory testing for detection of priority diseases","2018","3",NA
"Burundi","D.1.2 Specimen referral and transport system","2018","4",NA
"Burundi","D.1.4 Laboratory quality system","2018","2",NA
"Burundi","D.3.1 System for e cient reporting to FAO, OIE and WHO","2018","2",NA
"Burundi","D.3.2 Reporting network and protocols in country","2018","1",NA
"Burundi","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2018","2",NA
"Burundi","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2018","2",NA
"Burundi","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2018","1",NA
"Burundi","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2018","3",NA
"Burundi","PoE.1 Routine capacities established at points of entry","2018","1",NA
"Burundi","PoE.2 E ective public health response at points of entry","2018","1",NA
"Cameroon","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","2",NA
"Cameroon","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","2",NA
"Cameroon","P.6.2 Biosafety and biosecurity training and practices","2017","1",NA
"Cameroon","P.7.2 National vaccine access and delivery","2017","3",NA
"Cameroon","D.1.1 Laboratory testing for detection of priority diseases","2017","4",NA
"Cameroon","D.1.2 Specimen referral and transport system","2017","1",NA
"Cameroon","D.1.4 Laboratory quality system","2017","2",NA
"Cameroon","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","3",NA
"Cameroon","D.3.2 Reporting network and protocols in country","2017","1",NA
"Cameroon","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","4",NA
"Cameroon","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","3",NA
"Cameroon","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","2",NA
"Cameroon","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","2",NA
"Cameroon","PoE.1 Routine capacities established at points of entry","2017","1",NA
"Cameroon","PoE.2 E ective public health response at points of entry","2017","1",NA
"Chad","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","2",NA
"Chad","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","1",NA
"Chad","P.6.2 Biosafety and biosecurity training and practices","2017","1",NA
"Chad","P.7.2 National vaccine access and delivery","2017","3",NA
"Chad","D.1.1 Laboratory testing for detection of priority diseases","2017","2",NA
"Chad","D.1.2 Specimen referral and transport system","2017","2",NA
"Chad","D.1.4 Laboratory quality system","2017","1",NA
"Chad","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","2",NA
"Chad","D.3.2 Reporting network and protocols in country","2017","2",NA
"Chad","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","2",NA
"Chad","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","2",NA
"Chad","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","1",NA
"Chad","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","2",NA
"Chad","PoE.1 Routine capacities established at points of entry","2017","1",NA
"Chad","PoE.2 E ective public health response at points of entry","2017","1",NA
"Comoros","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","1",NA
"Comoros","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","1",NA
"Comoros","P.6.2 Biosafety and biosecurity training and practices","2017","1",NA
"Comoros","P.7.2 National vaccine access and delivery","2017","4",NA
"Comoros","D.1.1 Laboratory testing for detection of priority diseases","2017","2",NA
"Comoros","D.1.2 Specimen referral and transport system","2017","1",NA
"Comoros","D.1.4 Laboratory quality system","2017","1",NA
"Comoros","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","2",NA
"Comoros","D.3.2 Reporting network and protocols in country","2017","2",NA
"Comoros","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","3",NA
"Comoros","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","3",NA
"Comoros","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","2",NA
"Comoros","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","2",NA
"Comoros","PoE.1 Routine capacities established at points of entry","2017","1",NA
"Comoros","PoE.2 E ective public health response at points of entry","2017","1",NA
"Democratic Republic of the Congo","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2018","1",NA
"Democratic Republic of the Congo","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2018","2",NA
"Democratic Republic of the Congo","P.6.2 Biosafety and biosecurity training and practices","2018","1",NA
"Democratic Republic of the Congo","P.7.2 National vaccine access and delivery","2018","3",NA
"Democratic Republic of the Congo","D.1.1 Laboratory testing for detection of priority diseases","2018","3",NA
"Democratic Republic of the Congo","D.1.2 Specimen referral and transport system","2018","2",NA
"Democratic Republic of the Congo","D.1.4 Laboratory quality system","2018","1",NA
"Democratic Republic of the Congo","D.3.1 System for e cient reporting to FAO, OIE and WHO","2018","3",NA
"Democratic Republic of the Congo","D.3.2 Reporting network and protocols in country","2018","2",NA
"Democratic Republic of the Congo","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2018","4",NA
"Democratic Republic of the Congo","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2018","3",NA
"Democratic Republic of the Congo","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2018","1",NA
"Democratic Republic of the Congo","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2018","2",NA
"Democratic Republic of the Congo","PoE.1 Routine capacities established at points of entry","2018","1",NA
"Democratic Republic of the Congo","PoE.2 E ective public health response at points of entry","2018","1",NA
"Cote d'Ivoire","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2016","2",NA
"Cote d'Ivoire","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2016","2",NA
"Cote d'Ivoire","P.6.2 Biosafety and biosecurity training and practices","2016","2",NA
"Cote d'Ivoire","P.7.2 National vaccine access and delivery","2016","3",NA
"Cote d'Ivoire","D.1.1 Laboratory testing for detection of priority diseases","2016","4",NA
"Cote d'Ivoire","D.1.2 Specimen referral and transport system","2016","2",NA
"Cote d'Ivoire","D.1.4 Laboratory quality system","2016","3",NA
"Cote d'Ivoire","D.3.1 System for e cient reporting to FAO, OIE and WHO","2016","3",NA
"Cote d'Ivoire","D.3.2 Reporting network and protocols in country","2016","2",NA
"Cote d'Ivoire","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2016","3",NA
"Cote d'Ivoire","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2016","2",NA
"Cote d'Ivoire","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2016","2",NA
"Cote d'Ivoire","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2016","3",NA
