Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/19/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,200,200,300,300,300,300,300,400,400,400,400,400,400,500,550,600,650,700,770,770,770,770,770,770,770,770,700,620,550,480,420,350,300,260,260,140,160,205,182,175,163,163,163,160,162,162,145,159,151,163,153,166,138,145,152,150,150,149,149,,
Afghanistan,AFG,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,200,300,300,300,300,300,300,400,400,400,400,500,500,500,500,600,600,600,600,600,700,700,700,800,800,800,800,1000,1000,1000,1100,1100,1200,1200,1300,1300,1300,1250,1200,1200,1000,800,900,900,1000,1000,1000,1000,1000,1000,1000,1150,1300,1450,1600,1750,1900,2000,2050,,
Angola,AGO,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,257300,246800,274800,245300,362000,263300,335300,299300,303100,425200,374501,324322,606656,478659,399784,160581,81542,120407,125630,113072,85085,130957,111488,110376,95188,100093,84660,107490,126031,137465,133088,117104,113625,126200,132413,122781,137815,146304,163149,175799,239351,254553,255443,212033,240002,202616,225741,306436,305860,272042,310000,342000,374000,407000,442084,495232,486490,531575,442255,,
Albania,ALB,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,2600,3200,2800,3000,3000,4000,4000,5000,6000,7000,8000,8000,8000,7997,8455,8415,8377,8336,8807,8740,8661,8921,8812,8653,6809,10191,9757.200195,10766.40039,10827.2998,9357.400391,10054.59961,3012,2696.199951,2500,2100,1380.300049,2126.199951,1013.799988,2683.5,2747.899902,3328,3311.199951,3656.800049,2801.600098,4549.5,5000,5652.299805,5413.399902,5365,5811,5132.200195,4805.200195,8605.200195,8973.5,8705.5,7855.5,7861.700195,8564.200195,8648.299805,,
Andorra,AND,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Arab World,ARB,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,474880,505098,531470,541412,593475,591828,694322,640424,614804,634609,687642,704721,752751,921490,898965,864251,934355,905199,910069.8945,938276.7891,987376.0938,1038654.078,1032889.641,1179314.237,1199784.859,1276059.992,1420378.536,1422105.035,1575689.633,1489955.344,1536003.07,1588588.555,1569900.852,1677432.273,1884931.453,2023076.695,1792001.811,2006436.516,1984901.719,2060476.984,2211091.914,2569250.469,2466899.492,2512946.242,2590634.063,2676910.109,2478328.461,2480108.313,2491842.375,2760764.613,2745879.922,2623574.375,2984907.375,3056245.453,3081111.797,3097365.625,3396238.875,3601263.75,3974589.047,,
United Arab Emirates,ARE,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,30000,30000,35000,35000,35000,38000,38000,40000,40000,40000,40000,43000,43000,43000,67800,67800,64600,64600,64600,64600,64600,67760,69755,72716,72716,72260,79321,85243,89500,91160,95129,92336,95046,99600,108600,105884,107000,114358,114739,117607,105456,112561,97574,95150,90000,86735,100403,96453,74075,77705,79610,75147,72728,73000,73203,73000,73000,73000,73000,,
Argentina,ARG,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,104732,101900,101306,130571,168604,205000,250800,240860,223121,202800,214500,228608,237948,301989,295965,232209,281727,402723,541892,580657,400011,374777,488112,428064,322563,419470,422424,461568,496041,494683,560857,642362,745678,984908,999814,1175635,1290065,1389550,1165404,1086938,922289,931282,946535,911283,945978,934009,1176616,992618,999949,872632,818162,815988,762560,890305,853436,835850,771152,849268,838209,,
Armenia,ARM,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2419,2738,2698,1933,1885,1850,1033,821,580,580,698,1144,1133,866,465,569,218,250,350,1065,601,619,617,795,861,4099,4795,8140,3758,364,369,,
American Samoa,ASM,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,100,82,136,113,202,193,183,148,153,112,112,152,118,181,78,123,102,42,45,55,35,127,171,220,443,605,549,846,3667,6939,5089,4041,4019,5349,6519,4424,4944,5310,4901,6109,3273,2579,3138,3181,4042,3019,,
