Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","2","Afghanistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","54","F","FAO estimate",""
"FS","Suite of Food Security Indicators","2","Afghanistan","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","10.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","3","Albania","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","115.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","3","Albania","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","62","F","FAO estimate",""
"FS","Suite of Food Security Indicators","4","Algeria","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","92.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","4","Algeria","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","25.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","7","Angola","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","53.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","7","Angola","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","16.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","8","Antigua and Barbuda","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","79.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","8","Antigua and Barbuda","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","52","F","FAO estimate",""
"FS","Suite of Food Security Indicators","9","Argentina","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","103","F","FAO estimate",""
"FS","Suite of Food Security Indicators","9","Argentina","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","66.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","1","Armenia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","96.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","1","Armenia","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","43.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","10","Australia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","108","F","FAO estimate",""
"FS","Suite of Food Security Indicators","10","Australia","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","71.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","11","Austria","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","107.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","11","Austria","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","64","F","FAO estimate",""
"FS","Suite of Food Security Indicators","52","Azerbaijan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","91.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","52","Azerbaijan","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","29","F","FAO estimate",""
"FS","Suite of Food Security Indicators","12","Bahamas","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","62.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","12","Bahamas","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","42.7","F","FAO estimate",""
